asinValue,title,imageProduct,priceSymbol,price
B09SWW583J,"Kindle (2022 release) – The lightest and most compact Kindle, now with a 6” 300 ppi high-resolution display, and 2x the storage - Black",https://m.media-amazon.com/images/I/714brROA9eL.jpg.jpg,$,99.99
B08KTZ8249,"Kindle Paperwhite (8 GB) – Now with a 6.8"" display and adjustable warm light – Black",https://m.media-amazon.com/images/I/51QCk82iGcL.jpg.jpg,$,139.99
B08B495319,"Kindle Paperwhite Signature Edition (32 GB) – With a 6.8"" display, wireless charging, and auto-adjusting front light – Without Lockscreen Ads – Black",https://m.media-amazon.com/images/I/51N5CsWCIBL.jpg.jpg,$,189.99
B09BRZBK15,"Introducing Kindle Scribe (16 GB), the first Kindle for reading and writing, with a 10.2” 300 ppi Paperwhite display, includes Premium Pen",https://m.media-amazon.com/images/I/51XNHg4uurL.jpg.jpg,$,369.99
B09V8F3P91,Kindle Paperwhite – (Previous Generation - 2018 Release) Waterproof with 2X The Storage – Ad-Supported (Used Condition),https://m.media-amazon.com/images/I/51ok4fsaFsL.jpg.jpg,$,89.99
B09SWV3BYH,"Kindle (2022 release) – The lightest and most compact Kindle, now with a 6” 300 ppi high-resolution display, and 2x the storage - Denim",https://m.media-amazon.com/images/I/71dFhAIwENL.jpg.jpg,$,99.99
B08P52R2PL,"Kindle Paperwhite Kids (8 GB) – Made for reading - access thousands of books with Amazon Kids+, 2-year worry-free guarantee",https://m.media-amazon.com/images/I/51s8qL8zyEL.jpg.jpg,$,159.99
B08N2ZL7PS,"International Version – Kindle Paperwhite Signature Edition (32 GB) – With a 6.8"" display, wireless charging, and auto-adjusting front light – Without Lockscreen Ads – Black",https://m.media-amazon.com/images/I/51N5CsWCIBL.jpg.jpg,$,189.99
B09SWTG9GF,"International Version - Kindle (2022 release) – The lightest and most compact Kindle, now with a 6” 300 ppi high-resolution display, and 2x the storage - Black",https://m.media-amazon.com/images/I/61lBxyaYT7L.jpg.jpg,$,119.99
B095RLTZ9M,"Kobo Elipsa Pack | eReader | 10.3” Glare Free Touchscreen | Mark Up eBooks | Pack Includes Kobo Elipsa, 1 Kobo Stylus & 1 SleepCover | Adjustable Brightness | Carta E Ink Technology | 32 GB of Storage",https://m.media-amazon.com/images/I/71hjFlEGUhL.jpg.jpg,$,395.95
B095RSWM66,"Kobo Nia | eReader | 6"" Glare Free Touchscreen | Adjustable Brightness | Thin & Light | eBooks | WiFi | 8GB of Storage | Carta E Ink Technology | Black",https://m.media-amazon.com/images/I/81WRZc08chS.jpg.jpg,$,109.99
B07F7TLZF4,Kindle Oasis – With 7” display and page turn buttons,https://m.media-amazon.com/images/I/61moEqqnwzL.jpg.jpg,$,249.99
B07L5GMVF8,Kindle Oasis – With 7” display and page turn buttons - Without Lockscreen Ads,https://m.media-amazon.com/images/I/613V1gt4bCL.jpg.jpg,$,299.99
B0BCKYLMVM,"7 inch Tablet, Android 11, 2GB RAM 32GB ROM, Quad-Core Processor, Dual Camera, WiFi, Bluetooth, 128GB Expand, Google Play GMS Certified",https://m.media-amazon.com/images/I/71QVRDLlSYL.jpg.jpg,$,42.99
B09HSRLQVX,Kobo Libra 2 | eReader | 7” Glare Free Touchscreen | Waterproof | Adjustable Brightness and Color Temperature | Blue Light Reduction | eBooks | WiFi | 32GB of Storage | Carta E Ink Technology | White,https://m.media-amazon.com/images/I/81aBTJyTRwL.jpg.jpg,$,189.99
B07L55RMVF,"International Version – AT&T – Kindle Oasis – With 7” display and page turn buttons - 32 GB, Graphite - Free 4G LTE + Wi-Fi",https://m.media-amazon.com/images/I/61moEqqnwzL.jpg.jpg,$,349.99
B08W4J6PBL,"Certified Refurbished Kindle Paperwhite Signature Edition (32 GB) – With a 6.8"" display, wireless charging, and auto-adjusting front light – Without Ads",https://m.media-amazon.com/images/I/51N5CsWCIBL.jpg.jpg,$,169.99
B07747FR4Q,"International Version – Kindle Paperwhite – (previous generation - 2018 release) Now Waterproof with more than 2x the Storage, Free 4G LTE + Wi-Fi",https://m.media-amazon.com/images/I/61eAq6gg-XL.jpg.jpg,$,124.99
B07L5GDTYY,"International Version – Kindle Oasis – Now with adjustable warm light - 8 GB, Graphite",https://m.media-amazon.com/images/I/61xeu94oqjL.jpg.jpg,$,269.99
B07QWNJMZC,Certified Refurbished Kindle Paperwhite – (previous generation - 2018 release) Waterproof with 2x the Storage – Ad-Supported,https://m.media-amazon.com/images/I/61kH96473sL.jpg.jpg,$,109.99
