asinValue,title,imageProduct,priceSymbol,price
B08KTZ8249,"Kindle Paperwhite (8 GB) – Now with a 6.8"" display and adjustable warm light – Black",https://m.media-amazon.com/images/I/51QCk82iGcL.jpg.jpg,$,139.99
B09SWW583J,"Kindle (2022 release) – The lightest and most compact Kindle, now with a 6” 300 ppi high-resolution display, and 2x the storage - Black",https://m.media-amazon.com/images/I/714brROA9eL.jpg.jpg,$,99.99
B08B495319,"Kindle Paperwhite Signature Edition (32 GB) – With a 6.8"" display, wireless charging, and auto-adjusting front light – Without Lockscreen Ads – Black",https://m.media-amazon.com/images/I/51N5CsWCIBL.jpg.jpg,$,189.99
B07GRSK3HC,Kindle Oasis – With 7” display and page turn buttons,https://m.media-amazon.com/images/I/61moEqqnwzL.jpg.jpg,$,279.99
B07L5GMVF8,Kindle Oasis – With 7” display and page turn buttons - Without Lockscreen Ads,https://m.media-amazon.com/images/I/613V1gt4bCL.jpg.jpg,$,299.99
B09BSRTHL7,"Introducing Kindle Scribe (64 GB), the first Kindle for reading and writing, with a 10.2” 300 ppi Paperwhite display, includes Premium Pen",https://m.media-amazon.com/images/I/51XNHg4uurL.jpg.jpg,$,419.99
B0B4GC9TJT,"Kindle Kids (2022 release) – Includes access to thousands of books, a cover, and a 2-year worry-free guarantee - Space Whale",https://m.media-amazon.com/images/I/81kjU2dncgL.jpg.jpg,$,119.99
B09V8F3P91,Kindle Paperwhite – (Previous Generation - 2018 Release) Waterproof with 2X The Storage – Ad-Supported (Used Condition),https://m.media-amazon.com/images/I/51ok4fsaFsL.jpg.jpg,$,89.99
B09FNJZD68,"Kindle Paperwhite Signature Edition Essentials Bundle including Kindle Paperwhite Signature Edition - Wifi, Without Ads, Amazon Fabric Cover, and Wireless charging dock",https://m.media-amazon.com/images/I/514kPasUbWL.jpg.jpg,$,229.97
B09FP1C94R,"Kindle Paperwhite Signature Edition Essentials Bundle including Kindle Paperwhite Signature Edition - Wifi, Without Ads, Amazon Leather Cover, and Wireless charging dock",https://m.media-amazon.com/images/I/51MOtu7P04L.jpg.jpg,$,239.97
B09SWTG9GF,"International Version - Kindle (2022 release) – The lightest and most compact Kindle, now with a 6” 300 ppi high-resolution display, and 2x the storage - Black",https://m.media-amazon.com/images/I/61lBxyaYT7L.jpg.jpg,$,119.99
B0BJ91SKPB,"DMLuna Case for All-New Kindle 6"" (11th Generation 2022 Release, Model C2V2L3), Ultra Thin and Lightweight Smart Protective Durable Premium PU Leather Cover with Auto Sleep Wake Function, Rose Gold",https://m.media-amazon.com/images/I/81jnQ8bIXnL.jpg.jpg,$,15.99
B09FC4NT6F,"Kindle Paperwhite Essentials Bundle including Kindle Paperwhite - Wifi, Ad-supported, Amazon Fabric Cover, and Power Adapter",https://m.media-amazon.com/images/I/610ndsRnXsL.jpg.jpg,$,169.97
