asinValue,title,imageProduct,priceSymbol,price
B000NI46AO,Nokia 8800 Gold,https://m.media-amazon.com/images/I/21fjtezITUL.jpg.jpg,,0
B00005KBGR,Nokia 3310 Blue Nokia,https://m.media-amazon.com/images/I/614r6gJOBeL.jpg.jpg,,0
B01H41K5SO,Nokia 3310 Unlocked GSM Retro Stylish Cell Phone,https://m.media-amazon.com/images/I/314IEVDoeOL.jpg.jpg,,0
B076BZ18GS,Nokia 3310 TA-1036 Unlocked GSM 3G (At&T Tmobile Metro PCS Mint Latin Caribbean) - Warm Red,https://m.media-amazon.com/images/I/81Llml-HrSL.jpg.jpg,,0
B075FL4H89,NOKIA 3310 3G - Unlocked Single SIM Feature Phone (AT&T/T-Mobile/MetroPCS/Cricket/Mint) - 2.4 Inch Screen - Charcoal,https://m.media-amazon.com/images/I/51-m7QIlYoL.jpg.jpg,,0
B076BVNGZQ,Nokia 3310 TA-1036 Unlocked GSM 3G Android Phone - Charcoal,https://m.media-amazon.com/images/I/81hYdGqiYLL.jpg.jpg,,0
B08SV2Y7J6,Nokia 6300 4G | Unlocked | Dual SIM | WiFi Hotspot | Social Apps | Google Maps and Assistant | Light Charcoal,https://m.media-amazon.com/images/I/61u374-jlJL.jpg.jpg,$,69.00
B08Q1YWQQ9,Nokia 225 | GSM Unlocked Mobile Phone | 4G | Black,https://m.media-amazon.com/images/I/61Sn0+xiRiL.jpg.jpg,$,43.73
B0BLP3ZZXT,"SAMSUNG Galaxy S23 Ultra Cell Phone, Factory Unlocked Android Smartphone, 256GB Storage, 200MP Camera, Night Mode, Long Battery Life, S Pen, US Version, 2023, Green",https://m.media-amazon.com/images/I/71HtN4qqLZL.jpg.jpg,$,999.99
B093QPTSK7,Nokia G10 | Android 11 | Unlocked Smartphone | 3-Day Battery | Dual SIM | US Version | 3/32GB | 6.52-Inch Screen | 13MP Triple Camera | Polar Night,https://m.media-amazon.com/images/I/71Ptb2ttfaS.jpg.jpg,$,104.99
B07ML3ZHT4,"Punkt. MP02 New Generation, 4G LTE Minimalist Mobile Phone, Unlocked, Nano-SIM, Wi-Fi Hotspot, 2GB RAM+16GB Storage, 1280 mAh Battery, Multiband – Black",https://m.media-amazon.com/images/I/61LVvMJ0o6L.jpg.jpg,$,379.00
B07VHRFGV2,Nokia 106 Single Sim (2018) TA-1190 Dual-Band (850/1900) Factory GSM Unlocked Feature Phone (International Model),https://m.media-amazon.com/images/I/51tgESY0moL.jpg.jpg,$,39.99
B08F2R2DBR,Motorola Razr 5G | Unlocked | Made for US | 8/256GB | 48MP Camera | 2020 | Polished Graphite,https://m.media-amazon.com/images/I/61aGanMnfFL.jpg.jpg,$,599.99
